type,datetime,throughput,exectime
write,"Thu, 11 Feb 2016 00:52:54 GMT",6.9874955855040914,214.152
read,"Thu, 11 Feb 2016 00:56:32 GMT",6.418577931966283,215.306
write,"Thu, 11 Feb 2016 01:00:09 GMT",6.964779545138954,210.19
read,"Thu, 11 Feb 2016 01:03:01 GMT",8.944855524743428,165.884
write,"Thu, 11 Feb 2016 01:08:00 GMT",4.6003419395827505,292.376
read,"Thu, 11 Feb 2016 01:11:02 GMT",8.531736192318132,176.942
write,"Thu, 11 Feb 2016 01:16:09 GMT",4.297336278202389,300.042
read,"Thu, 11 Feb 2016 01:19:01 GMT",8.922603109973315,162.792
write,"Thu, 11 Feb 2016 01:25:05 GMT",3.8540091691695646,357.756
read,"Thu, 11 Feb 2016 01:28:13 GMT",8.896820239376362,180.12
write,"Thu, 11 Feb 2016 01:36:41 GMT",2.5234906752550867,499.949
read,"Thu, 11 Feb 2016 01:40:13 GMT",7.004093746876429,204.286
write,"Thu, 11 Feb 2016 01:47:58 GMT",2.945895137548447,457.986
read,"Thu, 11 Feb 2016 01:50:26 GMT",12.376390796915803,141.133
write,"Thu, 11 Feb 2016 01:57:35 GMT",3.003951134476566,421.085
read,"Thu, 11 Feb 2016 02:00:41 GMT",8.948105462370979,165.87
write,"Thu, 11 Feb 2016 02:08:35 GMT",2.9717945125442853,466.507
read,"Thu, 11 Feb 2016 02:11:23 GMT",9.332065209360994,161.886
write,"Thu, 11 Feb 2016 02:19:03 GMT",3.086002253810313,453.668
read,"Thu, 11 Feb 2016 02:21:28 GMT",11.728090095188112,140.101
write,"Thu, 11 Feb 2016 02:30:12 GMT",2.5953050067326537,516.948
read,"Thu, 11 Feb 2016 02:33:06 GMT",10.15129017611008,167.666
write,"Thu, 11 Feb 2016 02:40:21 GMT",3.0012648455533477,427.631
read,"Thu, 11 Feb 2016 02:43:34 GMT",7.840171569087837,188.38
write,"Thu, 11 Feb 2016 02:50:58 GMT",2.915601181474489,437.546
read,"Thu, 11 Feb 2016 02:53:58 GMT",8.715945167988949,173.042
write,"Thu, 11 Feb 2016 03:01:59 GMT",2.894618867342874,474.522
read,"Thu, 11 Feb 2016 03:05:01 GMT",9.642810220253839,176.247
write,"Thu, 11 Feb 2016 03:12:31 GMT",2.8539225113661923,443.122
read,"Thu, 11 Feb 2016 03:15:09 GMT",9.251554984015048,151.995
write,"Thu, 11 Feb 2016 03:22:32 GMT",2.808124043263363,436.498
read,"Thu, 11 Feb 2016 03:26:10 GMT",7.042340310531996,213.943
write,"Thu, 11 Feb 2016 03:34:04 GMT",3.076134718807321,467.368
read,"Thu, 11 Feb 2016 03:37:59 GMT",6.5634976003579295,221.943
write,"Thu, 11 Feb 2016 03:45:14 GMT",2.942737094948332,427.723
read,"Thu, 11 Feb 2016 03:48:18 GMT",10.939081395197789,166.518
write,"Thu, 11 Feb 2016 03:55:39 GMT",3.0475729954048947,434.581
read,"Thu, 11 Feb 2016 03:59:59 GMT",6.585592534572303,251.171
write,"Thu, 11 Feb 2016 04:06:42 GMT",3.2606223604243048,397.111
read,"Thu, 11 Feb 2016 04:09:06 GMT",12.372502011175978,140.608
write,"Thu, 11 Feb 2016 04:16:34 GMT",3.223858703646117,442.299
read,"Thu, 11 Feb 2016 04:18:32 GMT",14.731391490411706,113.776
write,"Thu, 11 Feb 2016 04:27:53 GMT",2.355213264561106,555.072
read,"Thu, 11 Feb 2016 04:31:02 GMT",9.523665912974328,178.921
write,"Thu, 11 Feb 2016 04:38:56 GMT",2.7350904237988423,467.898
read,"Thu, 11 Feb 2016 04:41:42 GMT",10.860006149478481,156.692
write,"Thu, 11 Feb 2016 04:50:09 GMT",2.8780620856752313,500.479
read,"Thu, 11 Feb 2016 04:53:17 GMT",7.336059698408472,178.822
write,"Thu, 11 Feb 2016 05:00:44 GMT",3.0865025123165917,441.296
read,"Thu, 11 Feb 2016 05:03:26 GMT",8.652290405475169,157.797
write,"Thu, 11 Feb 2016 05:13:13 GMT",2.1980271332711934,577.259
read,"Thu, 11 Feb 2016 05:18:02 GMT",5.136294792503321,274.492
write,"Thu, 11 Feb 2016 05:25:59 GMT",2.880974345523656,469.076
read,"Thu, 11 Feb 2016 05:29:37 GMT",7.448071810584362,203.452
write,"Thu, 11 Feb 2016 05:39:29 GMT",2.5841703308497124,586.041
read,"Thu, 11 Feb 2016 05:42:09 GMT",10.062690562202521,156.845
write,"Thu, 11 Feb 2016 05:50:59 GMT",2.450254099007111,524.575
read,"Thu, 11 Feb 2016 05:53:41 GMT",9.020786146478022,155.164
write,"Thu, 11 Feb 2016 06:02:05 GMT",2.737658407759619,497.674
read,"Thu, 11 Feb 2016 06:05:24 GMT",8.475776407605737,194.031
write,"Thu, 11 Feb 2016 06:14:19 GMT",2.546705518074181,529.731
read,"Thu, 11 Feb 2016 06:18:56 GMT",5.244764986997899,273.175
write,"Thu, 11 Feb 2016 06:27:16 GMT",2.8495543920270894,492.944
read,"Thu, 11 Feb 2016 06:30:13 GMT",8.63016609833427,174.396
write,"Thu, 11 Feb 2016 06:38:01 GMT",2.895722149668295,460.736
read,"Thu, 11 Feb 2016 06:40:45 GMT",11.011641828914415,152.427
write,"Thu, 11 Feb 2016 06:48:16 GMT",2.988350103891859,445.034
read,"Thu, 11 Feb 2016 06:50:48 GMT",11.54680521549947,145.891
write,"Thu, 11 Feb 2016 06:58:43 GMT",3.033312405584202,469.334
read,"Thu, 11 Feb 2016 07:01:25 GMT",11.231204403942433,149.196
write,"Thu, 11 Feb 2016 07:10:41 GMT",2.3548157945344728,550.514
read,"Thu, 11 Feb 2016 07:14:25 GMT",6.614183123581051,214.62
write,"Thu, 11 Feb 2016 07:22:45 GMT",2.6458864623660134,494.442
read,"Thu, 11 Feb 2016 07:26:10 GMT",6.9620621279920005,199.907
write,"Thu, 11 Feb 2016 07:32:35 GMT",3.6377415687760517,378.179
read,"Thu, 11 Feb 2016 07:35:12 GMT",10.655338857534568,152.853
write,"Thu, 11 Feb 2016 07:42:25 GMT",3.11685012684606,425.73
read,"Thu, 11 Feb 2016 07:44:57 GMT",10.344089678085464,146.356
write,"Thu, 11 Feb 2016 07:52:41 GMT",2.8568058220750387,456.557
read,"Thu, 11 Feb 2016 07:55:09 GMT",11.550778666866881,143.121
write,"Thu, 11 Feb 2016 08:03:59 GMT",2.4656929645149797,521.774
read,"Thu, 11 Feb 2016 08:07:46 GMT",6.379841402459269,216.957
